opponent,game_time
Yankees,1502654700
Indians,1502734200
Cardinals,1502824200
Cardinals,1502910600
Yankees,1503083400
Yankees,1503169800
Yankees,1503235800
Indians,1503342600
Indians,1503429000
Indians,1503515400
Indians,1503601800
Orioles,1503688200
Orioles,1503763500
Orioles,1503840900
Blue Jays,1503947220
Blue Jays,1504033620
Blue Jays,1504120020
Yankees,1504206300
Yankees,1504292700
Yankees,1504357500
Yankees,1504469100
Blue Jays,1504552200
Blue Jays,1504638600
Blue Jays,1504725000
Rays,1504897800
Rays,1504984200
Rays,1505050500
Athletics,1505243400
Athletics,1505329800
Athletics,1505396100
Rays,1505502600
Rays,1505585400
Rays,1505653800
Orioles,1505761500
Orioles,1505847900
Orioles,1505934300
Reds,1506107400
Reds,1506183000
Reds,1506258600
Blue Jays,1506366600
Blue Jays,1506453000
Blue Jays,1506539400
Astros,1506625800
Astros,1506712200
Astros,1506729600
Astros,1506870300
